index,moneyAmount,serialNumber,leftNumber1,rightNumber1,leftNumber2,rightNumber2,leftNumber3,rightNumber3,leftNumber4,rightNumber4,leftNumber5,rightNumber5,leftNumber6,rightNumber6,leftNumber7,rightNumber7,leftNumber8,rightNumber8,leftNumber9,rightNumber9,leftNumber10,rightNumber10,leftNumber11,rightNumber11,leftNumber12,rightNumber12,leftNumber13,rightNumber13,leftNumber14,rightNumber14,leftNumber15,rightNumber15
5,100,22510964,H0qo25aVtQ7A+6zNYqFeRo2Y7SjJPM2XONSZwiWN++M=,ErgyXNZFRbFYVsDGQw/HK1hJFPKy691bNo3HFb6EKro=,3pGR67NevMA7h0Wp6nJnZFt4tOf1MZbY6Btov5Ockak=,mXYoplR9/8gNJo12T4+V/vUiAlzDPLbUOw8pTtcwrh8=,ib6sAqJDDXwZY36CKjicxu+bl+PqtoDXHCB0CE3qrRE=,m4pWyY7+FZOpL9tqUuP9B1Qfdqn3DV3dqM1hNJciSL8=,vqllRQnAP3+prhTmZtorW4v65nDJY6EcbK1aDSzhWLg=,/q6w9VnImaSQ9BVSsoexxSc7YsA2zJHnQz8VK8YexLA=,KV9vUclIGeFlUhHbLQ6FaRFRT6C57ZQoET/GYTyXv6I=,GPaEpEGdBUTzMyNP1Au27d1GzAK5jovswY35TZDv+B8=,C+ak6dZTR5zwJZy/IL3ZuVUH2Xi8gi6gSPHgPvm6MJc=,YKulVlbC5zITjDQzgQkKyFih3hrgoU31yiUzGGrPTA4=,6UN3sbqXvIIbMVjh5W8hjBUEsn83mwavO4CL+Rz5Uqk=,VVUqKdsE9bSkcqX8z/5nTkpsaahKX6XaynvLZpk4UIo=,u0OxvMqY9YxA/GgGeTg1pP24whsqupNgeyl7xA4e8j0=,+mRGS/X9Ziyy5EFn3TsY1ttB5i59ZTo8MmssH9cKjw4=,uq3bD0dclZshcR0fnLiIwAeFnouyYB5k26z0Hinkdx8=,LOD/uDo59InI213MV5SXMIP1VGCWtARNrPWRdcLyXHw=,8WvAn+PiRLn0PuSS59y7Hna8kZset+u1P7x2NkT+puo=,+fjk9y0Wgnf/Ef2+v+WI8o4fjnnEa6p6gJDJsY5vO1g=,/qKcEexdTpRSPlkXlB56NySaSf4l7Q5ymzoI2eZ5NLY=,ij3lHqgJlPCWqWJYJAZsnWuICf4eV5R7bd57aQBZcpo=,7UnNZZHaIROl2sjjc4mRpP3el5N8jeJtOPMOMs1R2MM=,FGzYWs6XjSB7UlgCvYpAQo1RU6D8gT8SJpLthKcQe28=,xjYeVocnfNSX6j/gWHlLpuqd4R7rv6a6olU9kwPduac=,9czc0W8L4lrM9djyYZZCkZGbtIRGRT8N2YxyhpK3F1M=,CFv0HCZb0dlq1xGlcS/F9e0y9yUKrCxza8JyWbGPH38=,rW8dq3rSeZJkTpdhq5FM83PJkL2os1bOU2FHEHUx1T8=,Agja9u0k3C5JLQfbby0EPZsTSrvRKVuIjkixq5E1RyI=,WwZYlR3NIGDUS5SsU5FqYooHiOWR2XTiLQXooSahCOU=
11,100,91424593,gxVlHQWkMYdNr3wOj2HEKexvE56rgh6xM43XK+5CRBI=,yDUrf7n1vxhhI1pr5/wBVE6JsZQeoKMsZdYDuiZYOfM=,a60GRfSFRVl1XUSerBrQhP9OR8jvm3LpB5oLNyC2ij4=,NrgP4emoHiVD2CYexT3Dt0l5eckfGQi3sIAWPZJQWao=,XDWlddVHBXntKJZ9wC06LuPaBTpiMkw8Hz1gxGFEiGg=,1kR6iWcrkvl2ak58N/O5WigcRu5wYkNIevz/ca9J6V4=,kVslV4wBvSgvE33rpaL55MmkUn2KCxq3ilj5RjCs8lk=,Lavbf+NvfUdAqwa7iN6OvYF8c3fEG6zdB1fghp0bMBM=,oBcTF5wq1cTO6gp2eS7KT4XhyRlqZTeHTJuCB8GZizU=,qxhbKzZEndT0iV78ArftYViCwiD7oVQ3Vk2taUwbz64=,7qs3vtMul+DqudsWzp0qEnviVKUcNK6wjpYpwj+OMS8=,NmAwJY13w/XpY8Z/Tmbqc7g6yZxICurMYNedpVP1C5s=,++UxZSbEgWoLLUYPIDA1P4YbbqLssFCRQcU/Tf6VpNU=,ox9imqHSWxUY5mqzqGKxQWHtDQ5Hw7VmnXi7DbXs1zo=,GxGHXak6Txu/byxAVz8HPrBjL/KJqUcb9lqvSdnEuRU=,dlLZC34EXekMvqv6did1yI+fyLgz6vXRlLXiKx4xGY4=,adJ+psMKuKti6vDLl0I1WSHETDpX5IpN51pllC6vopY=,Z4FPRRhIb+SAFFPFQtjdCOPXRvfUFRVwz66wDGtIpK4=,HIOcZApljA/XgI68XY2RtISnoplW4Az2nVkfoxOPfbM=,yeL0wnxUueWlw5nULMU/s3BfcC4E5fvWVm8Aaq9Ubdw=,FrmWu4s6cx0kbM4SEewSqDLmWnRG1/PYS7HSAtL4g/E=,dvAGxxQe7/KJ94Lg2vnF6btqhYOSs7p//WjQ3iQ8Z+8=,LSfn+9JjZE2vcxwJobpFfL9gmKSs99nTDvKDHWtcugo=,Rjq2vAA59eH/EsUbe4s1qPs283NKkHfTj+XODZXHKTw=,ByX7HXiVGU8u8d3Ft8Dm5JVJh3+7nds4VL4DX7A+MNU=,gB3RdLo5dV0aGqrpUxDQiW0jRVcSGQfXV5zTS0Vi0Po=,h//ZTkstiZ+rd/uIX5INVmL8ztnVHkuQ9ctv2f0Ondw=,x63n5hjgjZGqR0G9cE6gMpfq75uSeNGgF3m1+yqz4IQ=,1OzYwC9C8tPO3fs5h6OmA4S70s4EIU+NOaS2Y2sNGTk=,q5S7kfXn/NMwQr4zK2W40To7NZUfPUiB4IL8xz7OWIQ=
17,100,27141018,wVkeRUKNCQp0LH52ss/E42Ac5lYF13cSx1Apm1fK+9c=,mWB3q/KCbo4tgdYVf3FmGyrAHSHuQFf1tIly3T2FGHA=,W4lLj6s7YUp8BG1MQm4463WaJymDJbUQoeSbJnBQxYc=,Eu37Fv3F57tgj/KMSGnozGm4XMF6roCGxWrageuDiEo=,99vcIRhVCFpdsmfa8eCYqT/gTZoYMfFaG+AzUG4dqGo=,mY5xM6X6ZNQbpLR/N3dxlU/P2KFaLoQBoEUHjgZKx0g=,W1Gh65PQD7asZ/HtMyz2R3nOC01KBhGcus0j6DNINck=,raFTA/c3Mu52x6T843/4Ya/yTRryzRsh09fwYXPbyFw=,SFEaehkiKuXpOh1HaYeIj+2lAj/2VBbNSY93hTeFLM8=,MYimSth3rKoUrVCmjb2zxD8Utgv12/NfwA66I1dFpGc=,DJHDLGpBbZH3EvU+iPSKGSM/Et7U5fFzaRhRjBVovsQ=,0pumBQWJRBqoMJxeq3ukfn8HU/c/N7kLCc/oaYsUvHs=,d+63Ji65HIifQDm9EkqGteOjwGatTqggb31eYsaa024=,OIMwGg+pYlEQm4ezW5EihBlv1AjYO4LiAOmuy0eySEA=,PauLz6YmVJy7V0wYu6juQdHYEZ4Hey3qEQxsqIHCTRY=,yIpxYsmag62gK+Kgk6T0VJbrDSNwvBANTfg6WD0TWnM=,PoYypGHPrOJF7ygFTdBu6M9yf1FHXgJFwBM5CVwk054=,0K4ePlUwXj/BBH9pjah6RYQL1LYmGNFu0m75KhzmxbE=,02lr1Y4wF5PlZ2lKYWbOSTlJG1TmMEerBfKri6qu33k=,epWHe76PrSdrFqxfrWN6G/fQuB+MD6tMQJC1oRFLl3o=,7j1g+DXCsEXgJFh3S4qXBTizA/4JvXbEcDCs7gVMq6M=,LJv5F/qkWxfuNIDoVJER+UC+WzCdCkrQPu17g01gvOk=,WwfMiF0JjYbW8qFRbPb6aDQ+0PsewHbTdF1bCPDaubA=,xpDgyB3ONKFAoQMpBtqag/q8i5kXxWz7R1tC07gCucs=,DYelkdbMPLru44B/bw+Z+tJ8iNUh/egZy1msAFjXmt0=,rsJYiEWSP3eK7eJ8m2OgH9UUyHJWF+zhHn28dQY6qUk=,SLQ/OdiNCbTZSOJE/ExS7qJnnHoPSrboVa/zJWZTpBA=,+LWwlfWwzw6Eu8iRvPaYTChVamluVb/wzOhbcWVRpyc=,F6VS10/cSC/XR6OML0htpAK1Aeh803lPFGDijcXAfvY=,5gjZ3e10oAuVuL4BJvCebBRCTyAonWRG2Z0zmI/W8RQ=
23,100,49041193,pF7p45rWyVDb9ZvAGC7r0rrH2BHupSapA8fMeh1yxKw=,ICHq3eff/fYvoGLKX99qpzPxSS6sE0GSyXmFP0nVENM=,JnBxGPPg85SlWkwTb4UVCKLcsSVQpvXhu6e0nWoapfE=,2U9gaKtj9HMNowTIEs1Ebly5UugCJFlDrvVcigF2cfA=,BYw+GTcNwSRpYsAwwiuCA3BEt5/kfAjIOJcMWBQ57lQ=,WggQs3AILe7d05di5D2k4NDo4pXliyb6cjwC1KIcktg=,J34XXDX4G93Xs4rUsKSVu3jxgSa40/V0ZS+9wkFGFsA=,CB44ZfOIlmmMtPOObiVP7F5El+uM9OAvWzQbeCuZqjg=,sK+6AUCFSED84kCb7KiKeOv3hCxYAEGtKVgiZWeXmFg=,aWfWk4PHM9AQzyqGcXXt8L2iojItrUeNsdbm2O7n5a0=,/SDP9cs2qz+r6Z4Qy9zIRriStb2Jd2bMZv3uJva7nKw=,T5stcOquvxZCfXr3jIMnxmvYh51y4pnMvV2pUr1qDt0=,7NskZrm5yuG160nGMmVP6Gn0P3OqfvXcx9HNhjNbdDw=,k1bCy0zzsS0IbjHMCf3Bk1yQd0lYFr60Zay+128BV8M=,WyaYlbcFjRy8Tydz3H6sgHYcKuFwv+DPQy8LJN9r7kA=,t1WDUbeeZoyVWk3w6SySGK9upYst//mZFSZIhVe7EFE=,90JoDmJtRaEOowMADPKHHp9JliRt5O/oId48yqgF8Ww=,zgGewwcJPIqJEH6EDhZji4L1OBEQ4538gHSEh4WMzgM=,nSGuYhBrvAA+5ODVXjxmP6V11ClD+5LZCxCh9w7cxJg=,s0DJmZjIbR/VJm6pHUwSGT4D3bSuqM9jqL3tDeNfr/Q=,hy9/FfDtKZY8N85JTJWZdi8dE9UpuhYcCStPGzAAAP0=,7Shf/A87zoWbahMm2umWVr/HXz8uxcHBuy1iFVtG5lU=,7ElENvuHZAUDVbbzi64oSNoQcGf/HAKEY3A9gfKl2sU=,nlSoMkpW/9jOBCqtGrkN3IPWfaNrAqY4Qx+7gZz4yrM=,h3tmGyZLEcW0jfl4Ge7rltGV1AQ6qPId4cM02Ejlmd4=,uBtiywBhKkmoWC94a+3AZ4NUjbnhpsy9aHU5wdff6Pg=,IyiS21jFDbiXjTxl3Ck3bDIWwz4YCZSFXAcllwmm+/E=,RiY65LW7dN8r2P+MZWVMoemEjZYhMfq0VNeArqaEP4k=,/cJLYg3Bbfqi+P3elkOoFrtV15Ql7kihX6AlSwWYSkI=,YdXwwMexnXMJc/IaMtcvmkmIX3z+jNQFOdjvlqUqJ/o=
29,100,62768918,fBAsq2ESKbLS7mMT7+/f6etMsIBEzxgmWEaHU+8LR7I=,cDmvuscXa526rUxjXMmL57kqbN6l5PfL/Pq7lEu9gHM=,l0MEOr6Yf4lfDH77AE0Kxx4gmMCb37VW8YnpMclZ+CI=,Y0SZF7UeNL8pHlHdcjqNEy8VH/pHG1hAT8KrTehS4C0=,AQnAjWG5ZevaTeDp+2yfwf2kl5QJRkIjthH4sUG029w=,L4Ru3KNQGAnsscivp9YukQ43yfj2piMyaZ5D+A4sjmk=,+/TYpitYNUHwqEYi9nBvK8lA2jYIZpa2CXUzDa4af8w=,c5igB3BbX/OEkFa0buxpEfPW5RmO+5VpLAn4kNI+6vA=,1JPsZHcGAd4c6EJxFF0WypNX1Naye0SAW9L6xaYnmxQ=,e91NDBp5WzvrZd2CvHcV4GgZroEtwXpFqUz+1966m44=,h+dgZcr9+kAbLyVE+aK5SdKRu8nUQzlb/sDVrCaqnpI=,I5VSS1XdbkNF1i87rshZvv2YUdIR8PoDlRP1/Lt22ZM=,Os0WDGGqV+yarwofOaWtWrLJdNtHqBXRnxnYJqZNTL4=,P+FNFmUGLQ7AMxU+RlW1nuBBu+Ul1shMpgoEQjs7FWQ=,g3Ho3X1Cx+XqCnT9P9YkV4RmJy8XLMl+3NWnPdzylEY=,acotGDfQ9nDUVnrTmQvvOZCo4DKeUvGpPtDcmzAIxz0=,xtejnQ2P4n2nJT66YwyhzYEu+4+qoC/RuF53uEnNURc=,leqPnNQdcxW+WRcIOt2YNRjbtp1QhTC5iPCm8wxZK44=,groXURXuXAIYLlgg11gfix+QeaRmB0tjzfny5Xc3cGY=,TX/pZIHTKWdxuetPRGL3t3t3XlfDVdsyVIrE4dmR0/M=,wG3V/56/zEaoLviJxJ/oqHCGeUjBV96W+NX0dP4w/wU=,U4HCgX/148S3rgA4RWgH7VZGGw75xKWs39wWTSuZbGc=,hd72JZEMFXPxavhS0AEcUAdWyjHi3ZiN6Feul5N9CII=,1HEBprUwitWUAtSI3gLdFSH75TQhrsih3nG7p5w09O8=,betvaTGh4yLUT1exVX3GG0Iuu/pJDcshETw7rBCxSQQ=,P5IpjuNzenD4U4QjrvOc73T8nXbdMNU4TURmeuYfw7M=,o0Fo7aRuDQhymWkcV5h5E9YWxH7PwR3SCcYbKrzvUnQ=,31a5E7EYRhovFlOej4wqKC66hvt5HyKg1/vZV99P2tk=,lu28ZLTFZXEHcql42N+uDTacDF89uFs7aAZWj/zYv9A=,EAdcw8jaQoqpNwQjW3rdblz4QTFFc7s0OkgxrxowSTE=
35,100,90121388,8bkjVBzKG3vwsTPMxuGeac0PHikPbwJssl2JZLiBKGw=,OvpgoFjjk2eety4Mc9nMXxH4XaQfNCVBbdXDT8EFMtc=,Ce1h/l8HLxbdgBuLrsWnSc0/HwZDsA3c4XtgIwu5ltc=,As0UDlD382z1K1KHuC647aGuBc5Pa9SJjbjnms/wsuY=,b+GIj/cbguzqd9GJNOY3XkUeegD8Vh2siXcckMyp2xY=,LOASjq+jyHEgkeN8PHOqlaniZ/rCqGsEw9uC3MmDEjs=,sI+iTacCdEI0Wf637+VxHaiYBCbrJ7ViJLrOHxdYXRM=,yaXQPG+mlcM5966io+XwY3Ok6rJaAVqa7wbyWl9GYlM=,92bvcxcnEjgX4Wtq5ul09sOz1DEmUeaLJExox3nW0IQ=,5N8D/ovr9eEp1Bb74UaqlnrF5yFWzT+rSqmP9XGkQSE=,M7e070yW3+oOgBaSd64WlLjPeCVkiI+QkxGYdOQ8f/8=,na7GmLjlGScOWwuHdMrys2QqnAE3IZopuebky24RlxA=,uzXc2Qm2qTbtmGpnsXgCXHa8UC2/2UK13Ftr6oiMfwk=,f3p88jzXYVyIOdL4XGEhvj1Bk9O/ebZGV0vSfcSkVP0=,o/KcwiQbkYxwoBHzLQZX3dbMINTRHcXVcXvGjTrciL8=,7oxwQtA7vDBA0o33hjvlqE65sbIjv0JwAa7RqoCtPRM=,79Td54Z1q7CSuD1tNs7d7Sg2X1hOBhd9mDIb9sCDhiY=,xQqGdSHtIB+xZm15g3zX617SloztWx91lrtfGpjehVs=,3k3pRXJ8+uj8sgTpbVc+FlPP9TWQw+RXaWSFm1oRiqY=,ZFqTXIfJMJ4k6hbyFxvNe0O8HcuCBLDg/S8AUECUohY=,j+F0pCp1XSwmz4U3eScXIiZDC2qwPaRZXHhNTYF4Kcs=,G55VnmM3EFpf1suCWOwj7H5tHXl9Y1c0o+Eb5U73gZ0=,xyd4QZamsy+RX7S4wJ6q6JcRkOHIjOCYlXBShlLyWAs=,tTi4No1O/Br5cw35klbE6KAJ+NdYsjNlY5FiFMYw5S8=,cEY/WPE1RMMOyILxBKAyMn99qHWstz0194qqHMEFh8A=,NLIHvvwlf4oY94YAPaCE2ldu3n4zBgYBFgvsg91s2+A=,q6sZ06QiHTlUEuQzyILu/JLUBW7ZKTkFaGJ+IQsKITU=,Mj+gO/mM7gq2DyA/0ioy8QwzrEJEMFuLuKYG/v8vw5Q=,4sVadLFriVizsAaQPwgs05j80gaqu5YCsWvli4didCY=,Wf6jw3g+DJ2vfJdWAbrcxL23AjDxkltO5h7aH3jay1o=
41,100,72129581,kkE4DcR2bWZ3nPfm+lWxEsdNJWvjQqe48Y4InIR11cI=,cjTtultSXjc956xfMFCUqnKzWGxhqAAiVtAAAWShc4w=,OmaqTfqlhJ3mi7KmU5Ac1jJum1WFQLnVFVRLntHxnxc=,oMEXgjTyhA92XD41zBmKO9wvtmJEuKnssvk5ciMKo6U=,ohUNAMViNJsnQFgD/MbH3bQoPnCkfIbZHfaG2pOu8cc=,nM/LL1B3Hcb9Qf8lG63xdgNnKzYFDxyrdwO/xXeq1EA=,Nbjf+w7McDU/W9NeVnsqFpHa1kFW81M+T6QvVthGQxI=,yHy++om0rSWWwYIw4GFIjSTmxIKppjFwZUFAf/hOi8w=,5WklA7GG90N6iuDLpeIMnKULZUvrq1uK5YeMNi1ZEp4=,ZV6Rn9sLelbAtBE0zloIyr74nb4PfL+PRrxTnm+r3OA=,Aaxxozd3ho6oBZdpP7GtMdaDIfWaVUywmNpxfiG+aiY=,k61i+Qeu3faj3wvQch/oD3Ywpbq2Py8K/TNdlSeN8P0=,X3wo2twrF4V4FiMl18gMgrEjcSrZr5UeaHjWsnopvvA=,Nscdl2Y5ebv/66OUEAIPdzmVrQpmrrWWPBsUVBlkW58=,1i4gEj5vcBpqflSMf3o6RbBjdJJYH3c53TmwXgM1J58=,3znvXM1kj7SALtd2/fIwpeQNac8XwWOK1UuUwCyDplE=,CK+igR0YpNC+EfHnuI/LBttj4padrzBqeP2JcCe3fMI=,J+ZwuWbxuVkjjh1A6FxU5DAUn2terMXvmEBLrAevdMQ=,0aJarkD04slj6jd2JnAo3lx/kYxL9It33piR8a3Hums=,cXdNzUAAqYxj9km7Bsvk66ZOu3E1XvkJhEFyaQvOnuI=,kGLRgbhgScOx1lYWlGqsvrxPkBXsSg3ooDXNEf8m1oo=,BT4Cho6bdZSWJDssTyhVtdO+wQFJIaHoDPPAbRp1VlQ=,lmDGHuPZ/Ly+xaGOf8dFJW5ZUngP+8pbDCNgCaAx6Ok=,0S4nfjGRp1FbHtUeW/6SMO61Njp5NPwxjNaBcLbRo70=,vYTqvmBHUvEuseX4cb3wuVMjMh8jmDA7Xwpi9FKuRIM=,pI6cP+ejO6j9dF1RSP8/zhShXk8emzVNXd4IyiUPXZU=,3x0Jx6SuA+K+u6h3cORNKzVDxqBwgf+7KGtHXmQbkps=,uZlQJ0hOXyVxYurVpo1DP7AdOlfYAPnQFT+rpbPJbr8=,4TDmUKmaYW7aJE2KETF2lVJg5flSP3gCIclS4Zb6NgQ=,frqkX/FUSEhKtrrukupAShLeWlG9G+jHx8VPgBaMobw=
47,100,103568830,/Xe7xIc0LMDOArh/tmpizi1PHbMNzsmb7Rz2KWUIqQI=,URAsgUA6U9qxL7z7GVK2Gsh1UQhDd8c2EdXa753Etkk=,aJTuvrsLnqRylIEjxDQMj9S1YMV+a+YSD/SSJuxk2cQ=,gUKPUVPaBuxYO0yWFryTTfyqnETQZ3WQZt7aJXbD/Aw=,IWD3ryqNf/uR9zuAE9X3Bawuy0wIKMySYWeO/PuVJT4=,7WEXKhLD1ROB9KMH2UZPyTpnDG9tjowyTtt6khOkL6I=,XKlYasjtHk42hedeFUKhow+Cz3WhSwnXK1kUxj+Ezlg=,0b2GyBKqpa7+Zwm5u81BeiczpidoKo743ZuvmkiDRKs=,vtalKnie9YiqX18I7lcJTifkZnV68nd84Mc4SSnVeKg=,SKcoAJA+gJGIhMVwSo6s8cKX4aeENSh/4XNQ+eBpGlM=,LqKwAKtQdouanNsjwkuaB3swb/VGxCns4G5bMrcObCY=,/6655lULQcrDoeEyYeMSJzJ/KrF8cc1jiLHR2IjSZmA=,4sWTXRhi9nPcPMyFr5IBeJCiatyeoGDhjacPsPXa72o=,RCEMFavlfMnafMl2YRhnyLsGjEp1FKflrmVndCRrtAo=,iPuxsQQPiN/tbpWfoe+UDj5g9Ttx4bZ0SdQ8PuXyJxw=,67+ix8LSNLt8i0/e+O4N9I9BYIEMqI7jI0KKM8agpOI=,6SRFKU7gR+cTvEr1sq1w3ampQQYMkpw2JxJlXtk/SDQ=,+tZfFNm150wd+caLg2Rp4h1HhCyKgoSovpnqTvdA9y8=,aCHw4H+yVbG8tATCEEjkFavr4wnJimKovdiwpxIojSk=,fsQnPaxMVhj1QebVXHocXDW3GxYuuKH+HYlDpzmfEVc=,QU0fSGlPrVHgrQmXQ5tKwwHFLGCwNS4jNp8P/mdYZ8o=,1OCfgLCv+zWF39xDbSoBNz+Ib5OQGDSEhzHa7kgsLXA=,C+wNRlXXHz+yN3OSBEOKZ/j1LLNMiGWyyPt8YCCviUs=,08xWEolDHR7oFYgFa1Md0wV5fvMT6FY3PRaOWIPinzE=,VzEBhKfwYbaEndfbPlF8vADFiN3/l29XkhAu4VjhfS0=,hKcVko801q/eG9WY6ODjNEKTGsEPq2CHLv8vc6mDX3Y=,xQbmJ+LH/jyKLxkdZ3qTjapUtVhztQyCyorgHx9VBII=,SJtohaQ8Dnc+c3O5NuALdsJs+nXm3fEdAYil7ktR/1c=,mBWEzS4cBO9ARsfXA5ZA/i9xKeMEKsf64gkyq1VXy/k=,n8R38UD2gxNg5L17x153DlFvpB6SZz4eQJUGQy0m9AQ=
53,100,35077468,lvzohJZvSEcdD8YxpSDvG/S2Fw2NOl+AeDRQwz7AaIA=,DtKD2vWzL3QIwlBi73sobo7en0yqqd4Wujo1p7ti4wA=,nZCkVBXyHlYGElnZ19r+f6t6kiGEFwylv5RYfZhhFG8=,lzcwGhquQX5/H6LjUGt+367O+ymA++rpd2AtUoOWWh0=,0X150rm3rh5czjRsF+uy1DuP6MB6mEIoaRL/HfoCc7Q=,a5BVCRjvh+BrZ6cU+ZKQDcMQBX125ZVGlMLRCp8w/bc=,zoSdMThGVZtqxhzOWMLnEH9fTBdTmwVvB6WnzZQr8pM=,bXEicGDlOto3e+lTElJ47yXTcI8eMLKhFDwjr/uSirg=,hVMKcxUH72yf5K5Sm/ChiebmFLqAG4rCxRVY+g8ZwBE=,UPpaLvuPnp6yldxT7So70pMhwxre2LPRNnKvbKMxnew=,OYaqUTKtxU229vxMURm6bMQbRAMX93VL3ZLZjw2wpAc=,JHfUw4hNhW8XcflDlh95c9SkK1cTt7yYFaP8xWbRNAI=,k72IrTNtmQQflmI+fkCsGLq4qHpRowQyCmlEzx3Hvzk=,D0Wkv6o+UnKfJQRVMsj/EKaxQMzPbqUgkf5sOMs36MI=,D0TqF7N6UE2l0pxXhaF+OcbkpLCKtW3kZ2Kmp67UYb4=,HoShs4xgqY2TyvJ26fNjms3TTbrb9iukVJJ3YjOQCAQ=,7sIxQ9+nCDQEe9HyeuJAivrx4cB24ROJQX7SNtpgXq0=,eCHxYjSOD3tRF5V5z5zaEwWSnnzq/QjAWfIPlTAijGw=,fBQynDJBeCpwU9YIgponqfH1nT4zpmLgFOeiGT1f2gg=,xZDtNmSF4NZozDVF40BFQ/+3wL6OsM9kRevx48HoLJE=,ywjh02V+rsBp1SSlJ6ldSf54O9AQx0qZMIrIbq+dERc=,PGHxSH7ZyrVML9E+1xKqnxDHkAsuerig8jMzwlDnlrs=,XJ22ikcnvIBtwQV5LDeg8SlQMfZEM5eHP90PG+oGZPs=,8cJW5WDIPXqyODl8k2K7sNK3NvVTTXc2Wb7nK6OdVRI=,gdvQOwu0XOSAfkQKR1hQ9xzx8IEKCM9c7Ix9nmiYWzA=,2MIUwj3qFfB8AlZHX/gocLuznaYlp+hWS5D3Jv0wjuY=,dYXB1hkuOrPQZyWOjI3cn6Nvd1xldCA+bSKztWLI88Y=,1iZY8f3j88P4p1EZUsbhavdkY+wqk6jjgi+deyQE3Us=,TIv9bIhHPark5efDx0vmAVPJ2MRN1IZfH3dXL1OnqHI=,X9/wO4Z4RnLW1+Gk30EFBSSFXe9xU5gFw57GMcewqRU=
59,100,98601034,VJ8Jm60MdI1FXU5vPsIJakPhuievwshZ97dgPcMpB+E=,Z7Og3m5kX83RZ/FgYD2Fe9zUYgVCGVA/7tuLLVgx/Cs=,ODBWLUmbtu6mLLbx5QQjEAMXAkkHTXFtQiK/gLmMtkU=,U/iETlNh/ldmUPx8H2M4Xj/Qfd68LI/hJKzQDyK+qFI=,SuNIVsH+Y+YKltgrgWnMttML3bFqHDZK33WbjiKCj98=,gOwbEvsKXSKrICNI2h5feXvPnTBmt4eTeiMiHKM4CnM=,IyAg8DP2JiyC9aNvVbr0m1L1daX6gOhG9zTt0NJ6pWk=,S6XlDbwUGbDWHNLXp+oxLK1RVwsFneUmR5TsOljW5ig=,VSTKchLCZfqNH9WyrzP87kiVo2PHeI3MmTClroPWfTE=,eS4zBXGu7AoAf86O5ufGvAx+GgwQpSn832Lcrn5RWsA=,0uWEi8CRWxjrdHe1O0KGaUSFFBrFqV5ZK3X+XYwk2to=,ZXTErG4SL1JR2eW8rYVsYqFMzZZdimPHExmKV17qCWw=,YwKBuEAapS4C9HED1jxT/n7H2AAjBTTKmwJhbuEOGtc=,XEuqjJRMDwl7NmrXagNvthxSPWHY0H3uPdF+I3Apxf0=,UZ29xALASTrxOPLzgfyYk3fTif1P5zf1U6FJPWF/jrI=,zwYdJXWBfFqd+7qH1pKE59cDTG7+5Si3wc+GbljqCcA=,2McihaDa8xW9lJJiqAFqa7CCdR0LBTyDw1JISGKFG8I=,281Ny1iBBkx1WZHx4m6YFXXsqaRYjWUnhEOjaS1YesI=,pHlkxqF2/XElKIYKBT94t0TbqJgWoYc9IoPUeKRx6YA=,7APkKMcbbKc/J+oiFIuEnifUuEG7cvt2ZJoTUj+mSEk=,HH1FVO+p+IqcIOgpIdv3fmY5UVRHNMxAZWzR74GFH5U=,8nps3D6xcZbVzDWxs80V3wX7Lmkp7m5WqPqOkNSgMhM=,h9OdyNK49oHvPVcbYs/nMaPSi+lJMV5J5cys3/2jZkY=,SOIVax9KXzEctcdpOf/FbHYpHRiDfOmhT5tQ7UtDYXk=,BJeK4KGdeiTD0RsjMpkI4GdWd/Ak9VOXxPoH5JVgIGM=,ZuSBRM1EYoNKIeJUBBRt1E0unhgPQvotYInUpfVAoNI=,ZnjMRrKBh/13hT1LfSPFq4Cu0ud+ClVEd7gUaDG1Cl4=,BrPTjPb40L6OGsvjWbZIlHJ//uLg1gMWPApVBWsrbyw=,dezEQo9VJfKHXArD089/46VC+3cgHzMI0q/+I/GzEx0=,Hi4xamgiqfYGwpbXX69x4uEV7b352s4iz5jtwgPGVeE=
